"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"69","6","","Tarik Cohen","CHI","RB28","6","35","126","72.3","17.7","63.0","-6.0"
"70","6","","Sammy Watkins","KC","WR31","12","35","151","72.4","17.3","82.0","+12.0"
"71","6","","Corey Davis","TEN","WR32","11","39","137","75.2","18.3","83.0","+12.0"
"72","7","","Matt Ryan","ATL","QB6","9","38","126","72.2","18.1","72.0","0.0"
"73","7","","Christian Kirk","ARI","WR33","12","36","129","76.7","16.6","77.0","+4.0"
"74","7","","Lamar Miller","HOU","RB29","10","46","134","77.2","17.2","68.0","-6.0"
"75","7","","Tevin Coleman","SF","RB30","4","39","130","78.7","18.0","67.0","-8.0"
"76","7","","Dante Pettis","SF","WR34","4","41","148","80.9","17.1","79.0","+3.0"
"77","7","","Will Fuller","HOU","WR35","10","41","175","81.5","18.9","78.0","+1.0"
"78","7","","Marvin Jones","DET","WR36","5","54","203","83.7","18.8","97.0","+19.0"
"79","7","","Sterling Shepard","NYG","WR37","11","45","157","84.6","16.9","94.0","+15.0"
"80","7","","Larry Fitzgerald","ARI","WR38","12","16","138","86.3","19.8","88.0","+8.0"
"81","7","","Dede Westbrook","JAC","WR39","10","36","181","86.8","26.0","95.0","+14.0"
"82","7","","Jared Cook","NO","TE7","9","8","142","87.5","18.0","73.0","-9.0"
"83","7","","Cam Newton","CAR","QB7","7","47","150","84.0","17.4","92.0","+9.0"
"84","7","","Curtis Samuel","CAR","WR40","7","45","174","88.5","19.3","105.0","+21.0"
"85","7","","Latavius Murray","NO","RB31","9","27","156","89.2","17.5","93.0","+8.0"
"86","7","","Russell Wilson","SEA","QB8","11","38","138","86.1","20.6","90.0","+4.0"
"87","7","","Carson Wentz","PHI","QB9","10","50","167","87.0","19.9","87.0","0.0"
"88","7","","Eric Ebron","IND","TE8","6","62","139","93.4","21.6","76.0","-12.0"
"89","7","","Rashaad Penny","SEA","RB32","11","44","146","94.4","16.0","80.0","-9.0"
"90","7","","David Njoku","CLE","TE9","7","22","163","94.6","23.9","89.0","-1.0"
"91","7","","Derrius Guice","WAS","RB33","10","57","168","94.6","19.2","71.0","-20.0"
"92","7","","Courtland Sutton","DEN","WR41","10","58","160","97.5","19.9","96.0","+4.0"
"93","7","","Drew Brees","NO","QB10","9","38","162","95.1","21.0","84.0","-9.0"
"94","7","","Vance McDonald","PIT","TE10","7","69","163","100.2","23.8","91.0","-3.0"
"95","7","","Jared Goff","LAR","QB11","9","54","153","97.6","16.6","101.0","+6.0"
"96","8","","Miles Sanders","PHI","RB34","10","42","289","98.6","40.5","81.0","-15.0"
"97","8","","Austin Ekeler","LAC","RB35","12","60","181","101.8","22.3","75.0","-22.0"
"98","8","","Jameis Winston","TB","QB12","7","59","154","102.1","17.1","116.0","+18.0"
"99","8","","Austin Hooper","ATL","TE11","9","53","141","107.0","19.8","108.0","+9.0"
"100","8","","Royce Freeman","DEN","RB36","10","66","172","107.1","16.5","102.0","+2.0"
"101","8","","Geronimo Allison","GB","WR42","11","52","229","108.0","28.7","118.0","+17.0"
