"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
1,1,NA,"Saquon Barkley","NYG","RB1",11,1,3,1.7,0.8,"1.0",0,10,"Have Nots"
2,1,NA,"Christian McCaffrey","CAR","RB2",7,1,4,2.4,0.9,"2.0",0,11,"Piss & Vinegar"
3,1,NA,"Alvin Kamara","NO","RB3",9,1,5,2.9,1.1,"4.0",1,5,"Gordon Gekko"
4,1,NA,"Ezekiel Elliott","DAL","RB4",8,1,14,3.4,1.9,"3.0",-1,2,"Food For Anubis"
5,2,NA,"David Johnson","ARI","RB5",12,4,18,6.7,3.2,"7.0",2,82,"Have Nots"
6,2,NA,"DeAndre Hopkins","HOU","WR1",10,5,13,7.9,1.3,"5.0",-1,0,""
7,2,NA,"Travis Kelce","KC","TE1",12,8,22,9.2,2.3,"16.0",9,18,"Franks Tanks"
8,2,NA,"Davante Adams","GB","WR2",11,5,20,9.3,2.4,"6.0",-2,40,"IronCity"
9,2,NA,"Julio Jones","ATL","WR3",9,5,16,10.3,2.3,"11.0",2,17,"Fubar"
10,2,NA,"James Conner","PIT","RB6",7,4,21,11.6,4.5,"10.0",0,130,"Have Nots"
11,2,NA,"Le'Veon Bell","NYJ","RB7",4,5,40,12.2,5.2,"8.0",-3,83,"Piss & Vinegar"
12,2,NA,"Michael Thomas","NO","WR4",9,7,32,12.3,2.9,"9.0",-3,9,"IronCity"
13,2,NA,"Odell Beckham Jr.","CLE","WR5",7,7,20,12.7,2.3,"12.0",-1,8,"Fubar"
14,3,NA,"JuJu Smith-Schuster","PIT","WR6",7,7,24,14.1,3.9,"14.0",0,23,"Food For Anubis"
15,3,NA,"Joe Mixon","CIN","RB8",9,6,31,16.1,4.8,"18.0",3,32,"Fubar"
16,3,NA,"Dalvin Cook","MIN","RB9",12,6,42,19.1,4.9,"19.0",3,21,"Devil Cows"
17,3,NA,"Tyreek Hill","KC","WR7",12,7,36,19.3,7.2,"15.0",-2,0,""
18,3,NA,"Nick Chubb","CLE","RB10",7,6,52,20.5,7.9,"23.0",5,129,"IronCity"
19,3,NA,"Mike Evans","TB","WR8",7,14,33,20.8,4.7,"22.0",3,0,""
20,3,NA,"Antonio Brown","OAK","WR9",6,12,29,21.2,4,"20.0",0,0,""
21,4,NA,"Todd Gurley","LAR","RB11",9,3,52,22.8,11.6,"13.0",-8,35,"Domanick Davis"
22,4,NA,"George Kittle","SF","TE2",4,8,53,23.3,2.8,"30.0",8,0,""
23,4,NA,"Keenan Allen","LAC","WR10",12,12,32,24.8,3.7,"24.0",1,0,""
24,4,NA,"Melvin Gordon","LAC","RB12",12,5,83,25.2,13,"17.0",-7,0,""
25,4,NA,"Damien Williams","KC","RB13",12,4,59,26.3,13.8,"26.0",1,13,"Domanick Davis"
26,4,NA,"T.Y. Hilton","IND","WR11",6,18,36,27.1,3.5,"27.0",1,0,""
27,4,NA,"Zach Ertz","PHI","TE3",10,15,69,27.9,10.5,"25.0",-2,101,"Gordon Gekko"
28,4,NA,"Amari Cooper","DAL","WR12",8,13,43,29.2,2.8,"31.0",3,0,""
29,4,NA,"Stefon Diggs","MIN","WR13",12,24,39,30.6,2.8,"35.0",6,0,""
30,4,NA,"Adam Thielen","MIN","WR14",12,16,37,30.9,2.7,"28.0",-2,103,"Franks Tanks"
31,4,NA,"Kerryon Johnson","DET","RB14",5,18,52,33.6,10.7,"32.0",1,51,"O-Dog"
32,5,NA,"Brandin Cooks","LAR","WR15",9,24,48,34.3,3.5,"39.0",7,0,""
33,5,NA,"Julian Edelman","NE","WR16",10,21,58,34.8,5.8,"40.0",7,0,""
34,5,NA,"Robert Woods","LAR","WR17",9,29,43,34.9,2.4,"42.0",8,0,""
35,5,NA,"Aaron Jones","GB","RB15",11,11,80,35.8,12.9,"34.0",-1,124,"Devil Cows"
36,5,NA,"Devonta Freeman","ATL","RB16",9,14,57,36,10.4,"33.0",-3,0,""
37,5,NA,"Leonard Fournette","JAC","RB17",10,18,59,36.6,10.8,"29.0",-8,4,"Devil Cows"
38,5,NA,"Marlon Mack","IND","RB18",6,19,61,36.7,11.7,"37.0",-1,0,""
39,5,NA,"Patrick Mahomes","KC","QB1",12,24,56,39.1,6.1,"21.0",-18,134,"Piss & Vinegar"
40,5,NA,"Kenny Golladay","DET","WR18",5,32,99,39.3,7.6,"43.0",3,126,"Secret Squirrels"
41,5,NA,"Chris Godwin","TB","WR19",7,28,67,41.4,6.8,"49.0",8,0,""
42,5,NA,"Cooper Kupp","LAR","WR20",9,34,80,45.5,9.9,"46.0",4,144,"BITE ME"
43,5,NA,"Tyler Lockett","SEA","WR21",11,25,76,46.8,10.2,"53.0",10,0,""
44,5,NA,"Derrick Henry","TEN","RB19",11,40,75,50.7,7.4,"38.0",-6,25,"BITE ME"
45,5,NA,"D.J. Moore","CAR","WR22",7,36,88,50.8,12.1,"60.0",15,0,""
46,6,NA,"Alshon Jeffery","PHI","WR23",10,33,77,51.7,12.2,"66.0",20,0,""
47,6,NA,"Tyler Boyd","CIN","WR24",9,34,92,52,12.2,"58.0",11,0,""
48,6,NA,"Josh Jacobs","OAK","RB20",6,19,331,52.3,13.9,"36.0",-12,0,""
49,6,NA,"Calvin Ridley","ATL","WR25",9,37,93,57,13.4,"55.0",6,0,""
50,6,NA,"Allen Robinson","CHI","WR26",6,33,107,57.2,17.8,"69.0",19,0,""
51,6,NA,"A.J. Green","CIN","WR27",9,25,101,58.5,18.8,"41.0",-10,0,""
52,6,NA,"Evan Engram","NYG","TE4",11,22,78,59.3,12,"61.0",9,0,""
53,6,NA,"O.J. Howard","TB","TE5",7,22,92,60.5,11.6,"59.0",6,0,""
54,6,NA,"Mark Ingram","BAL","RB21",8,21,85,61.3,11.5,"47.0",-7,0,""
55,6,NA,"Chris Carson","SEA","RB22",11,31,100,61.5,12.8,"56.0",1,0,""
56,6,NA,"Deshaun Watson","HOU","QB2",10,38,77,51.1,7.7,"45.0",-11,42,"Franks Tanks"
57,6,NA,"James White","NE","RB23",10,27,110,62,17.2,"50.0",-7,125,"Gordon Gekko"
58,6,NA,"Jarvis Landry","CLE","WR28",7,37,137,63.5,19.1,"62.0",4,0,""
59,6,NA,"Mike Williams","LAC","WR29",12,43,82,63.7,12.7,"64.0",5,0,""
60,6,NA,"Aaron Rodgers","GB","QB3",11,47,77,53.6,6.5,"52.0",-8,0,""
61,6,NA,"Andrew Luck","IND","QB4",6,38,70,53.7,8.1,"48.0",-13,0,""
62,6,NA,"David Montgomery","CHI","RB24",6,19,333,64.7,21.5,"51.0",-11,0,""
63,6,NA,"Hunter Henry","LAC","TE6",12,52,94,65.4,8,"65.0",2,0,""
64,6,NA,"Tarik Cohen","CHI","RB25",6,36,97,65.6,13.8,"57.0",-7,0,""
65,6,NA,"Sony Michel","NE","RB26",10,40,98,66.3,11.4,"54.0",-11,0,""
66,6,NA,"Phillip Lindsay","DEN","RB27",10,42,93,67,12.3,"44.0",-22,0,""
67,6,NA,"Kenyan Drake","MIA","RB28",5,27,112,68.1,15.3,"63.0",-4,0,""
68,7,NA,"Robby Anderson","NYJ","WR30",4,39,101,70.3,13.5,"73.0",5,0,""
69,7,NA,"Corey Davis","TEN","WR31",11,37,113,71.8,16.9,"82.0",13,0,""
70,7,NA,"Christian Kirk","ARI","WR32",12,41,97,74.4,14.6,"78.0",8,0,""
71,7,NA,"Sammy Watkins","KC","WR33",12,38,111,75.2,14.6,"76.0",5,0,""
72,7,NA,"Tevin Coleman","SF","RB29",4,41,104,75.2,14.1,"70.0",-2,0,""
73,7,NA,"Lamar Miller","HOU","RB30",10,31,115,76.7,16.5,"72.0",-1,0,""
74,7,NA,"Will Fuller","HOU","WR34",10,39,184,78.4,22.9,"79.0",5,0,""
75,7,NA,"Dante Pettis","SF","WR35",4,43,147,78.6,18.3,"77.0",2,0,""
76,7,NA,"Baker Mayfield","CLE","QB5",7,50,125,69.8,15.6,"67.0",-9,71,"Food For Anubis"
77,7,NA,"Dede Westbrook","JAC","WR36",10,36,128,83.5,16.7,"99.0",22,0,""
78,7,NA,"Marvin Jones","DET","WR37",5,49,152,84.4,18.2,"94.0",16,0,""
79,7,NA,"Sterling Shepard","NYG","WR38",11,55,122,84.9,13.4,"91.0",12,0,""
80,7,NA,"Jared Cook","NO","TE7",9,53,121,86.2,13.8,"75.0",-5,0,""
81,7,NA,"Matt Ryan","ATL","QB6",9,45,123,76.6,19.3,"71.0",-10,0,""
82,7,NA,"Russell Wilson","SEA","QB7",11,38,141,88.7,22.6,"88.0",6,30,"Secret Squirrels"
83,7,NA,"Larry Fitzgerald","ARI","WR39",12,49,141,89.5,19,"93.0",10,0,""
84,7,NA,"Curtis Samuel","CAR","WR40",7,55,141,89.9,14.3,"108.0",24,0,""
85,7,NA,"David Njoku","CLE","TE8",7,26,164,89.9,16.8,"87.0",2,0,""
86,7,NA,"Keke Coutee","HOU","WR41",10,48,148,90.1,13.6,"111.0",25,0,""
87,7,NA,"Eric Ebron","IND","TE9",6,63,133,90.8,19.7,"74.0",-13,72,"BITE ME"
88,7,NA,"Latavius Murray","NO","RB31",9,34,130,91.5,14.8,"96.0",8,0,""
89,7,NA,"Rashaad Penny","SEA","RB32",11,58,126,91.6,13.3,"81.0",-8,0,""
90,8,NA,"Cam Newton","CAR","QB8",7,47,105,84.1,12.8,"92.0",2,0,""
91,8,NA,"Courtland Sutton","DEN","WR42",10,58,139,95.4,16.2,"97.0",6,142,"O-Dog"
92,8,NA,"Vance McDonald","PIT","TE10",7,53,161,95.8,18.8,"95.0",3,0,""
93,8,NA,"Derrius Guice","WAS","RB33",10,60,132,96.4,17.3,"68.0",-25,0,""
94,8,NA,"Carson Wentz","PHI","QB9",10,50,131,89.7,20.4,"85.0",-9,0,""
95,8,NA,"Miles Sanders","PHI","RB34",10,21,334,102.1,44.7,"80.0",-15,0,""
96,8,NA,"Austin Ekeler","LAC","RB35",12,61,144,102.3,20.5,"83.0",-13,156,"Domanick Davis"
97,8,NA,"Geronimo Allison","GB","WR43",11,58,141,102.4,18.9,"112.0",15,166,"O-Dog"
98,8,NA,"Royce Freeman","DEN","RB36",10,72,134,106.1,13.5,"104.0",6,0,""
99,8,NA,"Drew Brees","NO","QB10",9,56,162,97.1,24.1,"89.0",-10,0,""
100,8,NA,"Austin Hooper","ATL","TE11",9,63,142,107.5,19.3,"110.0",10,0,""
101,8,NA,"Golden Tate","NYG","WR44",11,37,212,108.8,27.8,"106.0",5,0,""
102,8,NA,"Jared Goff","LAR","QB11",9,56,125,100.7,14.8,"98.0",-4,0,""
103,8,NA,"Anthony Miller","CHI","WR45",6,67,217,112.7,17.9,"138.0",35,0,""
104,8,NA,"Jameis Winston","TB","QB12",7,62,154,103.9,19.7,"114.0",10,0,""
105,8,NA,"Jordan Howard","PHI","RB37",10,71,199,115.2,20.6,"84.0",-21,0,""
106,8,NA,"Dion Lewis","TEN","RB38",11,83,215,115.6,24.7,"132.0",26,0,""
107,8,NA,"Lamar Jackson","BAL","QB13",8,50,158,116.3,24.5,"131.0",24,0,""
108,8,NA,"Nyheim Hines","IND","RB39",6,66,179,117.6,19.6,"120.0",12,0,""
109,8,NA,"Delanie Walker","TEN","TE12",11,74,260,119.1,21,"128.0",19,0,""
110,8,NA,"Kyler Murray","ARI","QB14",12,56,167,101.7,25.7,"101.0",-9,0,""
111,8,NA,"LeSean McCoy","BUF","RB40",6,71,182,120.4,25,"102.0",-9,0,""
112,9,NA,"Darrell Henderson","LAR","RB41",9,27,379,120.6,58.6,"86.0",-26,0,""
113,9,NA,"Ronald Jones II","TB","RB42",7,76,187,121.7,23.1,"103.0",-10,0,""
114,9,NA,"Dak Prescott","DAL","QB15",8,70,156,113.1,15.7,"118.0",4,0,""
115,9,NA,"DeSean Jackson","PHI","WR46",10,82,244,122.6,23.4,"127.0",12,0,""
116,9,NA,"Michael Gallup","DAL","WR47",8,88,229,124.2,22.8,"154.0",38,0,""
117,9,NA,"Ben Roethlisberger","PIT","QB16",7,70,154,116.4,18.9,"107.0",-10,0,""
118,9,NA,"Devin Funchess","IND","WR48",6,64,194,125.1,26.5,"145.0",27,0,""
119,9,NA,"Trey Burton","CHI","TE13",6,79,180,125.2,13.8,"129.0",10,0,""
120,9,NA,"Marquez Valdes-Scantling","GB","WR49",11,62,222,127.4,36.2,"113.0",-7,0,""
121,9,NA,"Jack Doyle","IND","TE14",6,92,258,129.4,20,"168.0",47,0,""
122,9,NA,"Donte Moncrief","PIT","WR50",7,65,222,129.6,35.9,"147.0",25,0,""
123,9,NA,"Jerick McKinnon","SF","RB43",4,57,195,130.2,35.3,"116.0",-7,0,""
124,9,NA,"Philip Rivers","LAC","QB17",12,91,172,122,19.3,"126.0",2,0,""
125,9,NA,"Mitch Trubisky","CHI","QB18",6,68,176,130.5,23.8,"136.0",11,0,""
126,9,NA,"Emmanuel Sanders","DEN","WR51",10,56,229,130.9,36.7,"109.0",-17,0,""
127,9,NA,"Matt Breida","SF","RB44",4,93,193,132.7,22.9,"146.0",19,0,""
128,9,NA,"DaeSean Hamilton","DEN","WR52",10,74,222,133.1,27.5,"170.0",42,0,""
129,9,NA,"Jordan Reed","WAS","TE15",10,69,191,134.9,20.8,"161.0",32,0,""
130,9,NA,"John Brown","BUF","WR53",6,48,216,135.5,33.1,"171.0",41,0,""
131,9,NA,"Josh Allen","BUF","QB19",6,54,174,137.3,21.2,"163.0",32,0,""
132,9,NA,"N'Keal Harry","NE","WR54",10,55,244,129.2,39.3,"105.0",-27,0,""
133,9,NA,"Kirk Cousins","MIN","QB20",12,56,200,131.8,24,"134.0",1,0,""
134,9,NA,"Mark Andrews","BAL","TE16",8,72,209,140.4,31.8,"157.0",23,0,""
135,9,NA,"Kyle Rudolph","MIN","TE17",12,94,193,140.6,19.7,"141.0",6,0,""
136,9,NA,"Kenny Stills","MIA","WR55",5,64,208,141.6,30.3,"180.0",44,0,""
137,9,NA,"James Washington","PIT","WR56",7,65,261,143.6,36.8,"117.0",-20,0,""
138,9,NA,"Jamison Crowder","NYJ","WR57",4,97,206,144.7,28,"203.0",65,0,""
139,9,NA,"Kalen Ballage","MIA","RB45",5,89,199,145.9,27.6,"137.0",-2,0,""
140,9,NA,"Peyton Barber","TB","RB46",7,89,235,145.9,35.4,"123.0",-17,0,""
141,9,NA,"Tom Brady","NE","QB21",10,87,177,146.5,15.9,"124.0",-17,0,""
142,9,NA,"Jimmy Garoppolo","SF","QB22",4,68,175,146.5,19.8,"151.0",9,0,""
143,9,NA,"Adrian Peterson","WAS","RB47",10,60,258,149,32.2,"143.0",0,115,"Secret Squirrels"
144,9,NA,"Duke Johnson","CLE","RB48",7,104,234,152.3,28.8,"167.0",23,0,""
145,9,NA,"Tyrell Williams","OAK","WR58",6,55,231,152.5,39.1,"148.0",3,0,""
146,9,NA,"Greg Olsen","CAR","TE18",7,102,291,154.4,38.2,"142.0",-4,0,""
147,9,NA,"Ito Smith","ATL","RB49",9,85,264,146.9,34,"149.0",2,0,""
148,9,NA,"Jimmy Graham","GB","TE19",11,76,259,156.4,38.4,"158.0",10,0,""
149,10,NA,"Chris Herndon IV","NYJ","TE20",4,121,209,160.6,23.8,"204.0",55,0,""
150,10,NA,"Jaylen Samuels","PIT","RB50",7,80,279,162.7,43.4,"135.0",-15,0,""
151,10,NA,"Damien Harris","NE","RB51",10,89,337,164.8,57.7,"125.0",-26,0,""
152,10,NA,"Robert Foster","BUF","WR59",6,97,298,165.6,41.5,"230.0",78,0,""
153,10,NA,"Chris Thompson","WAS","RB52",10,96,257,163.6,32.2,"202.0",49,0,""
154,10,NA,"Carlos Hyde","KC","RB53",12,60,316,163.9,43,"130.0",-24,0,""
155,10,NA,"Albert Wilson","MIA","WR60",5,94,267,175.2,39.9,"217.0",62,0,""
156,10,NA,"Matthew Stafford","DET","QB23",5,95,197,164.1,15.4,"173.0",17,0,""
157,10,NA,"Dallas Goedert","PHI","TE21",10,127,273,165.5,33.8,"200.0",43,0,""
158,10,NA,"Marquise Goodwin","SF","WR61",4,99,333,173.9,48.7,"185.0",27,0,""
159,10,NA,"Justin Jackson","LAC","RB54",12,93,310,181.1,56.2,"178.0",19,0,""
160,10,NA,"Sam Darnold","NYJ","QB24",4,91,241,168.3,20.4,"197.0",37,0,""
161,10,NA,"Kareem Hunt","CLE","RB55",7,98,322,182.2,37.5,"100.0",-61,0,""
162,10,NA,"Devante Parker","MIA","WR62",5,90,226,168.5,32.5,"192.0",30,0,""
163,10,NA,"D.K. Metcalf","SEA","WR63",11,99,261,163.6,40.5,"119.0",-44,0,""
164,10,NA,"T.J. Hockenson","DET","TE22",5,108,258,171.2,37.5,"139.0",-25,0,""
165,10,NA,"C.J. Anderson","DET","RB56",5,110,256,178.5,28.9,"209.0",44,0,""
166,10,NA,"Parris Campbell","IND","WR64",6,111,243,171.8,39.5,"144.0",-22,0,""
167,10,NA,"Chicago (CHI)","","DST1",6,132,246,147.7,27.1,"90.0",-77,0,""
168,10,NA,"Devin Singletary","BUF","RB57",6,80,311,172.1,48.4,"155.0",-13,0,""
169,10,NA,"Noah Fant","DEN","TE23",10,72,271,172.5,44.4,"184.0",15,0,""
170,10,NA,"Jamaal Williams","GB","RB58",11,120,272,176.2,36,"206.0",36,0,""
171,10,NA,"Mohamed Sanu","ATL","WR65",9,93,268,176.8,32.9,"212.0",41,0,""
172,10,NA,"David Moore","SEA","WR66",11,86,246,191.5,30.1,"284.0",112,0,""
173,10,NA,"Derek Carr","OAK","QB25",6,77,241,178.5,19,"174.0",1,0,""
174,10,NA,"Giovani Bernard","CIN","RB59",9,120,277,188,31.4,"186.0",12,0,""
175,10,NA,"Justice Hill","BAL","RB60",8,52,367,182,65,"172.0",-3,0,""
176,10,NA,"Mike Davis","CHI","RB61",6,115,257,189.7,30.6,"234.0",58,0,""
177,10,NA,"Andy Dalton","CIN","QB26",9,103,202,176.3,14.4,"239.0",62,0,""
178,10,NA,"Tre'Quan Smith","NO","WR67",9,115,247,183.7,31.8,"176.0",-2,0,""
179,10,NA,"Quincy Enunwa","NYJ","WR68",4,108,243,185.3,33.5,"267.0",88,0,""
180,10,NA,"Adam Humphries","TEN","WR69",11,105,238,171.5,35.7,"210.0",30,0,""
181,10,NA,"Jalen Richard","OAK","RB62",6,106,238,181.2,28.9,"208.0",27,0,""
182,10,NA,"Jacksonville (JAC)","","DST2",10,130,254,158.9,23.8,"140.0",-42,0,""
183,11,NA,"Deebo Samuel","SF","WR70",4,88,301,185.9,46.6,"205.0",22,0,""
184,11,NA,"Zay Jones","BUF","WR71",6,73,285,190.7,41.4,"222.0",38,0,""
185,11,NA,"Greg Zuerlein","LAR","K1",9,143,247,176.5,17.5,"121.0",-64,0,""
186,11,NA,"Minnesota (MIN)","","DST3",12,134,252,168.5,22,"150.0",-36,0,""
187,11,NA,"Marcus Mariota","TEN","QB27",11,114,254,191.6,27.5,"211.0",24,0,""
188,11,NA,"Nick Foles","JAC","QB28",10,105,241,191.9,20.4,"223.0",35,0,""
189,11,NA,"Los Angeles (LAR)","","DST4",9,144,247,161.8,20.7,"115.0",-74,0,""
190,11,NA,"Marquise Brown","BAL","WR72",8,82,270,194.2,51.2,"166.0",-24,0,""
191,11,NA,"Los Angeles (LAC)","","DST5",12,144,256,171,24,"153.0",-38,0,""
192,11,NA,"Baltimore (BAL)","","DST6",8,145,249,172.2,29,"156.0",-36,0,""
