"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
119,8,NA,"Marquez Valdes-Scantling","GB","WR48",11,60,223,123.4,30.2,"109.0",-10,0,""
120,8,NA,"Matt Breida","SF","RB42",4,76,259,128.6,30.9,"131.0",11,0,""
121,8,NA,"Jack Doyle","IND","TE14",6,69,246,129.9,26.3,"179.0",58,0,""
122,8,NA,"Jordan Reed","WAS","TE15",10,8,179,131.2,20.1,"141.0",19,0,""
123,8,NA,"Ronald Jones II","TB","RB43",7,60,238,129.2,29.8,"104.0",-19,0,""
124,9,NA,"Duke Johnson","HOU","RB44",10,76,217,130.6,29.4,"144.0",20,0,""
125,9,NA,"Mitch Trubisky","CHI","QB18",6,68,181,131,19.8,"138.0",13,0,""
126,9,NA,"Donte Moncrief","PIT","WR49",7,49,229,132,37.7,"126.0",0,0,""
127,9,NA,"Michael Gallup","DAL","WR50",8,75,226,128.6,26.4,"158.0",31,0,""
128,9,NA,"Devin Funchess","IND","WR51",6,41,212,132.2,33.3,"149.0",21,0,""
129,9,NA,"Kirk Cousins","MIN","QB19",12,26,171,129.1,22.4,"151.0",22,0,""
130,9,NA,"Jamison Crowder","NYJ","WR52",4,90,223,139.6,28.8,"172.0",42,0,""
131,9,NA,"Tyrell Williams","OAK","WR53",6,41,240,139.2,38.7,"142.0",11,0,""
132,9,NA,"DaeSean Hamilton","DEN","WR54",10,73,242,137.4,31.1,"212.0",80,0,""
133,9,NA,"John Brown","BUF","WR55",6,58,244,139.1,28.4,"167.0",34,0,""
134,9,NA,"Peyton Barber","TB","RB45",7,76,257,139.2,31.8,"114.0",-20,0,""
135,9,NA,"Kyle Rudolph","MIN","TE16",12,94,202,142.7,19.4,"139.0",4,0,""
136,9,NA,"Jimmy Graham","GB","TE17",11,34,267,145.9,32.7,"155.0",19,0,""
137,9,NA,"N'Keal Harry","NE","WR56",10,45,270,140.3,44,"110.0",-27,0,""
138,9,NA,"Kenny Stills","MIA","WR57",5,67,214,143.7,27.9,"200.0",62,0,""
139,9,NA,"Mark Andrews","BAL","TE18",8,72,299,145,38.3,"152.0",13,0,""
140,9,NA,"Kalen Ballage","MIA","RB46",5,84,237,141.9,29.3,"119.0",-21,0,""
141,9,NA,"Josh Allen","BUF","QB20",6,88,253,142.5,24.9,"176.0",35,0,""
142,9,NA,"Adrian Peterson","WAS","RB47",10,1,257,146.4,31.1,"137.0",-5,115,"Secret Squirrels"
143,9,NA,"Greg Olsen","CAR","TE19",7,70,345,147.9,35.6,"147.0",4,0,""
144,9,NA,"Tom Brady","NE","QB21",10,91,350,147.9,28.7,"123.0",-21,0,""
145,9,NA,"Jimmy Garoppolo","SF","QB22",4,95,360,149.9,30.1,"160.0",15,0,""
146,9,NA,"James Washington","PIT","WR58",7,13,268,154.8,44.4,"117.0",-29,0,""
147,9,NA,"Ito Smith","ATL","RB48",9,18,264,154,31.8,"148.0",1,0,""
148,9,NA,"Carlos Hyde","KC","RB49",12,76,312,155.3,41.2,"128.0",-20,0,""
149,9,NA,"Jaylen Samuels","PIT","RB50",7,52,316,157,43.7,"115.0",-34,0,""
150,9,NA,"Chris Thompson","WAS","RB51",10,2,195,157.1,24.8,"197.0",47,0,""
151,9,NA,"Chris Herndon IV","NYJ","TE20",4,29,255,160.6,30.9,"178.0",27,0,""
152,9,NA,"Mohamed Sanu","ATL","WR59",9,75,266,163.8,36.8,"184.0",32,0,""
153,9,NA,"D.K. Metcalf","SEA","WR60",11,39,320,161.7,44.9,"111.0",-42,0,""
154,10,NA,"Matthew Stafford","DET","QB23",5,27,202,165.8,17.2,"190.0",36,0,""
155,10,NA,"Damien Harris","NE","RB52",10,83,317,169.6,49.7,"127.0",-28,0,""
156,10,NA,"Jerick McKinnon","SF","RB53",4,3,337,161.5,57,"146.0",-10,0,""
157,10,NA,"Chicago (CHI)","","DST1",6,2,237,141.7,12.1,"86.0",-71,0,""
158,10,NA,"Albert Wilson","MIA","WR61",5,64,265,172.8,34,"221.0",63,0,""
159,10,NA,"Dallas Goedert","PHI","TE21",10,32,267,170.1,29.8,"188.0",29,0,""
160,10,NA,"T.J. Hockenson","DET","TE22",5,36,356,165.4,46.8,"154.0",-6,0,""
161,10,NA,"Sam Darnold","NYJ","QB24",4,103,241,166.1,17.7,"194.0",33,0,""
162,10,NA,"Parris Campbell","IND","WR62",6,22,302,170.1,42.5,"153.0",-9,0,""
163,10,NA,"Adam Humphries","TEN","WR63",11,10,378,173.6,44.5,"181.0",18,0,""
164,10,NA,"Kareem Hunt","CLE","RB54",7,98,283,174,34.3,"99.0",-65,0,""
165,10,NA,"Derek Carr","OAK","QB25",6,28,275,172.8,24.2,"185.0",20,0,""
166,10,NA,"Devin Singletary","BUF","RB55",6,59,324,169.9,45.5,"140.0",-26,0,""
167,10,NA,"Giovani Bernard","CIN","RB56",9,6,283,183.6,32.2,"218.0",51,0,""
168,10,NA,"Jamaal Williams","GB","RB57",11,4,272,173.4,31.5,"216.0",48,0,""
169,10,NA,"Marquise Goodwin","SF","WR64",4,25,333,174.1,44.5,"198.0",29,0,""
